Магнит | (59.9177746,30.3455293) | supermarket 
РеалЪ | (59.9178996,30.2893587) | supermarket 
DNS | (59.929055,30.3472814) | electronics 
Буквоед | (59.9232852,30.3347938) | books
Ароматный мир | (59.9251553,30.3135508) | alcohol 
Винлаб | (59.9243299,30.3058882) | alcohol 
DNS | (59.9279708,30.3189765) | electronics 
Пятёрочка | (59.92667,30.3083673) | supermarket 
М.Видео | (59.912488,30.3196352) | electronics 
Дикси | (59.927631,30.3117314) | supermarket 
Vinissimo | (59.936232,30.2829166) | alcohol 
Перекрёсток | (59.9191342,30.3392889) | supermarket 
Дикси | (59.918506,30.3460359) | supermarket 
Пятёрочка | (59.9284697,30.3048304) | supermarket 
DNS | (59.9155222,30.3178112) | electronics 
РосАл | (59.9132772,30.2977644) | alcohol 
Дикси | (59.9122946,30.2978337) | supermarket 
Удачный | (59.9116802,30.3069503) | supermarket 
Буквоед | (59.9158527,30.3090949) | books 
Дикси | (59.9140327,30.323598) | supermarket 
Красное&Белое | (59.9157605,30.301056) | alcohol 
Семишагофф | (59.9157367,30.3048399) | supermarket 
Пятёрочка | (59.913195,30.2772759) | supermarket 
Дикси | (59.921656,30.2865236) | supermarket 
Союз печатников | (59.9232805,30.2894246) | books 
Дикси | (59.9235062,30.2915225) | supermarket 
Пятёрочка | (59.9223189,30.2924764) | supermarket 
Ароматный мир | (59.9223551,30.2929959) | alcohol 
Пятёрочка | (59.9312883,30.3480975) | supermarket 
Семишагофф | (59.9301276,30.3473586) | supermarket 
Буквоед | (59.9282264,30.3466495) | books 
Ароматный мир | (59.9311952,30.3132762) | alcohol 
Дикси | (59.9320095,30.3165455) | supermarket 
Англия | (59.9340912,30.3446155) | books 
Красное&Белое | (59.9160776,30.3288926) | alcohol 
Бочки | (59.9238001,30.2848282) | alcohol 
Винлаб | (59.9321013,30.2955302) | alcohol 
Норман | (59.9149389,30.3222524) | alcohol 
РеалЪ | (59.9158688,30.3254833) | supermarket 
Красное&Белое | (59.926147,30.312523) | alcohol 
Ароматный мир | (59.9261205,30.312736) | alcohol 
Millstream | (59.9246793,30.2872457) | alcohol 
Рюмка | (59.9135543,30.2922003) | alcohol 
Пятёрочка | (59.9113636,30.2894225) | supermarket 
Дикси | (59.9085185,30.2965676) | supermarket 
Норман | (59.9075864,30.2967032) | alcohol 
Старая книга на Рижском | (59.9137338,30.2862303) | books 
Пятёрочка | (59.9117096,30.2825035) | supermarket 
Ароматный мир | (59.9110494,30.3070306) | alcohol 
Норман | (59.9179976,30.2898008) | alcohol 
Винотека Форт | (59.9134713,30.3177133) | alcohol 
РеалЪ | (59.9068784,30.3188311) | supermarket 
Градусы | (59.9057569,30.3189073) | alcohol 
Магнит | (59.9111729,30.3180574) | supermarket 
Пятёрочка | (59.925525,30.2834147) | supermarket 
Солод и хмель | (59.9137922,30.3229832) | alcohol 
Красное&Белое | (59.9181783,30.290591) | alcohol 
Ароматный мир | (59.9180564,30.2962661) | alcohol 
MigMag | (59.9346865,30.3107495) | alcohol 
Дикси | (59.9097383,30.2752899) | supermarket 
DNS | (59.9150551,30.3479355) | electronics 
Красное&Белое | (59.9204803,30.294123) | alcohol 
Красное&Белое | (59.9192568,30.2903846) | alcohol 
Красное&Белое | (59.9207269,30.2825262) | alcohol 
Семишагофф | (59.9112807,30.3476646) | supermarket 
Винлаб | (59.9105978,30.3186686) | alcohol 
Красное&Белое | (59.9188278,30.3033691) | alcohol 
Дикси | (59.9076228,30.3460296) | supermarket 
Дикси | (59.9228804,30.3078135) | supermarket 
Пятёрочка | (59.9185299,30.2812814) | supermarket 
Магнит у дома | (59.9257958,30.3151018) | supermarket 
Пятёрочка | (59.9102224,30.314021) | supermarket 
Ароматный мир | (59.9151942,30.3219864) | alcohol 
Vinissimo | (59.9231937,30.3048424) | alcohol 
Красное&Белое | (59.9219061,30.3040632) | alcohol 
Дикси | (59.9243227,30.3052909) | supermarket 
Дикси | (59.9265816,30.332206) | supermarket 
Дикси | (59.9238356,30.3292796) | supermarket 
РосАл | (59.9221272,30.2855787) | alcohol 
Двадцать восьмой | (59.9153217,30.3413105) | books 
Дикси | (59.9263283,30.3470236) | supermarket 
Ароматный мир | (59.928991,30.3118417) | alcohol 
Семишагофф | (59.9137795,30.326822) | supermarket 
Красное&Белое | (59.9182595,30.2804904) | alcohol 
Магнит | (59.9251532,30.3221426) | supermarket 
РеалЪ | (59.9244301,30.3376846) | supermarket 
Красное&Белое | (59.926024,30.3416957) | alcohol 
Дикси | (59.9368965,30.3364522) | supermarket 
Ароматный мир | (59.9125574,30.3484434) | alcohol 
Буквоед | (59.9346856,30.3336143) | books 
РосАл | (59.9254798,30.3443329) | alcohol 
Магнит | (59.9280924,30.3193825) | supermarket 
Градусы | (59.9267104,30.3325345) | alcohol 
Красное&Белое | (59.913814,30.2965077) | alcohol 
Престиж | (59.930838,30.3187477) | supermarket 
Дикси | (59.9257833,30.3272999) | supermarket 
